workload,variant,n_reps,ok,wall_s_min,wall_s_median,wall_s_max,user_s_median,sys_s_median,cpu_pct_median,max_rss_kb_median,page_faults_major_median,page_faults_minor_median,output_bytes_median,total_run_time_s_median,sequence_1_io_s_median,seed_position_table_s_median,sequence_2_io_s_median,seed_hit_search_s_median,chaining_s_median,gapped_extension_s_median,interpolation_s_median,output_s_median,total_query_time_s_median,ge_above_below_s_median,ge_left_right_s_median,ge_ydrop_align_s_median,ge_ydrop_one_sided_align_s_median,ge_update_lr_bounds_s_median,ge_next_sweep_seg_s_median,ge_prev_sweep_seg_s_median,ge_update_active_segs_s_median,ge_filter_active_segs_s_median
real.actb_chimp_vs_chimp,default,3,1,0.01,0.01,0.01,0.0,0.0,93,9908,0,14999,708,0.014,0.0,0.004,0.0,0.009,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real.actb_chimp_vs_fly,default,3,1,0.02,0.02,0.02,0.01,0.01,100,10572,0,15482,715,0.021,0.0,0.004,0.0,0.009,0.0,0.007,0.0,0.0,0.016,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0
real.actb_chimp_vs_human,default,3,1,0.01,0.01,0.01,0.0,0.01,94,10620,0,15115,730,0.017,0.0,0.005,0.0,0.009,0.0,0.003,0.0,0.0,0.012,0.0,0.0,0.003,0.003,0.0,0.0,0.0,0.0,0.0
real.actb_fly_vs_chimp,default,3,1,0.02,0.02,0.02,0.0,0.01,95,10760,0,15373,715,0.021,0.0,0.005,0.0,0.009,0.0,0.007,0.0,0.0,0.016,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0
real.actb_fly_vs_fly,default,3,1,0.01,0.01,0.01,0.0,0.01,93,10140,0,15218,710,0.014,0.0,0.005,0.0,0.009,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real.actb_fly_vs_human,default,3,1,0.02,0.02,0.02,0.0,0.01,100,10784,0,15329,707,0.021,0.0,0.005,0.0,0.009,0.0,0.007,0.0,0.0,0.016,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0
real.actb_human_vs_chimp,default,3,1,0.01,0.01,0.01,0.0,0.01,94,10416,0,15126,730,0.017,0.0,0.005,0.0,0.009,0.0,0.003,0.0,0.0,0.012,0.0,0.0,0.003,0.003,0.0,0.0,0.0,0.0,0.0
real.actb_human_vs_fly,default,3,1,0.02,0.02,0.02,0.01,0.01,95,10456,0,15447,707,0.021,0.0,0.004,0.0,0.009,0.0,0.007,0.0,0.0,0.016,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0
real.actb_human_vs_human,default,3,1,0.01,0.01,0.01,0.0,0.01,100,9800,0,14922,696,0.014,0.0,0.004,0.0,0.009,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
